generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end
343,143.42,334,44,1.88,3,47,3.06,3.78,5.96,6.72,0,25
344,155.24,373,52,1.8,3,45,3.08,3.64,6.0,6.88,0,25
345,154.72,294,39,1.68,3,42,3.24,3.82,6.0,6.76,0,25
346,135.78,271,40,1.84,3,46,3.04,3.7,6.0,7.0,0,25
347,178.46,423,76,1.92,4,48,3.02,3.8,6.08,6.84,0,25
348,157.66,398,42,1.76,4,44,3.04,3.84,6.0,6.08,0,25
349,145.0,266,40,1.88,3,47,3.06,4.14,6.08,6.88,0,25
350,136.78,267,21,1.8,3,45,3.18,4.3,5.96,6.2,0,25
351,153.36,430,63,1.88,4,47,3.5,5.32,5.92,5.56,0,25
352,121.22,260,28,2.0,3,50,3.46,5.4,6.0,6.0,0,25
353,141.74,421,45,1.76,3,44,3.48,5.58,5.96,6.12,0,25
354,142.02,295,27,1.84,4,46,3.52,5.62,6.04,6.04,0,25
355,148.72,361,46,1.8,3,45,3.48,5.64,6.04,5.76,0,25
